consecutivo;SKU;Descripcion;Talla;Genero_Uso;Longitud_Manga;Precio;Color
595;13473;giro-jersey-edicion-especial-2025-mujer;S;Femenino;Manga Larga;134900;Azul
596;14473;giro-jersey-edicion-especial-2025-mujer;M;Femenino;Manga Corta;124900;Azul
597;13473;giro-jersey-edicion-especial-2025-mujer;M;Femenino;Manga Larga;134900;Azul
598;14473;giro-jersey-edicion-especial-2025-mujer;L;Femenino;Manga Corta;124900;Azul
599;13473;giro-jersey-edicion-especial-2025-mujer;L;Femenino;Manga Larga;134900;Azul
600;14473;giro-jersey-edicion-especial-2025-mujer;XL;Femenino;Manga Corta;124900;Azul
601;13473;giro-jersey-edicion-especial-2025-mujer;XL;Femenino;Manga Larga;134900;Azul
602;14472;giro-jersey-edicion-especial-2025-mujer;S;Femenino;Manga Corta;124900;Rosa
603;13472;giro-jersey-edicion-especial-2025-mujer;S;Femenino;Manga Larga;134900;Rosa
604;14472;giro-jersey-edicion-especial-2025-mujer;M;Femenino;Manga Corta;124900;Rosa
605;13472;giro-jersey-edicion-especial-2025-mujer;M;Femenino;Manga Larga;134900;Rosa
606;14472;giro-jersey-edicion-especial-2025-mujer;L;Femenino;Manga Corta;124900;Rosa
607;13472;giro-jersey-edicion-especial-2025-mujer;L;Femenino;Manga Larga;134900;Rosa
608;14472;giro-jersey-edicion-especial-2025-mujer;XL;Femenino;Manga Corta;124900;Rosa
609;13472;giro-jersey-edicion-especial-2025-mujer;XL;Femenino;Manga Larga;134900;Rosa
610;80473;jersey-edicion-giro-de-italia-hombre-ref;S;Masculino;Manga Corta;124900;Azul
611;90473;jersey-edicion-giro-de-italia-hombre-ref;S;Masculino;Manga Larga;134900;Azul
612;80473;jersey-edicion-giro-de-italia-hombre-ref;M;Masculino;Manga Corta;124900;Azul
613;90473;jersey-edicion-giro-de-italia-hombre-ref;M;Masculino;Manga Larga;134900;Azul
614;80473;jersey-edicion-giro-de-italia-hombre-ref;L;Masculino;Manga Corta;124900;Azul
615;90473;jersey-edicion-giro-de-italia-hombre-ref;L;Masculino;Manga Larga;134900;Azul
616;80473;jersey-edicion-giro-de-italia-hombre-ref;XL;Masculino;Manga Corta;124900;Azul
617;90473;jersey-edicion-giro-de-italia-hombre-ref;XL;Masculino;Manga Larga;134900;Azul
618;80472;jersey-edicion-giro-de-italia-hombre-ref;S;Masculino;Manga Corta;124900;Rosa
619;90472;jersey-edicion-giro-de-italia-hombre-ref;S;Masculino;Manga Larga;134900;Rosa
620;80472;jersey-edicion-giro-de-italia-hombre-ref;M;Masculino;Manga Corta;124900;Rosa
621;90472;jersey-edicion-giro-de-italia-hombre-ref;M;Masculino;Manga Larga;134900;Rosa
622;80472;jersey-edicion-giro-de-italia-hombre-ref;L;Masculino;Manga Corta;124900;Rosa
623;90472;jersey-edicion-giro-de-italia-hombre-ref;L;Masculino;Manga Larga;134900;Rosa
624;80472;jersey-edicion-giro-de-italia-hombre-ref;XL;Masculino;Manga Corta;124900;Rosa
625;90472;jersey-edicion-giro-de-italia-hombre-ref;XL;Masculino;Manga Larga;134900;Rosa
626;13483;jersey-standar-manga-larga-terracota-ref-13483;S;Unisex;Manga Larga;219900;
627;13483;jersey-standar-manga-larga-terracota-ref-13483;M;Unisex;Manga Larga;219900;
628;13483;jersey-standar-manga-larga-terracota-ref-13483;L;Unisex;Manga Larga;219900;
629;13483;jersey-standar-manga-larga-terracota-ref-13483;XL;Unisex;Manga Larga;219900;
630;90483;jersey-standar-manga-larga-terracota-ref-90483;S;Unisex;Manga Larga;219900;
631;90483;jersey-standar-manga-larga-terracota-ref-90483;M;Unisex;Manga Larga;219900;
632;90483;jersey-standar-manga-larga-terracota-ref-90483;L;Unisex;Manga Larga;219900;
633;90483;jersey-standar-manga-larga-terracota-ref-90483;XL;Unisex;Manga Larga;219900;
634;14482;jersey-standar-manga-corta-terracota-ref-14482;S;Unisex;Manga Corta;209900;
635;14482;jersey-standar-manga-corta-terracota-ref-14482;M;Unisex;Manga Corta;209900;
636;14482;jersey-standar-manga-corta-terracota-ref-14482;L;Unisex;Manga Corta;209900;
637;14482;jersey-standar-manga-corta-terracota-ref-14482;XL;Unisex;Manga Corta;209900;
638;80482;jersey-standar-manga-corta-terracota-ref-80482;S;Unisex;Manga Corta;209900;
639;80482;jersey-standar-manga-corta-terracota-ref-80482;M;Unisex;Manga Corta;209900;
640;80482;jersey-standar-manga-corta-terracota-ref-80482;L;Unisex;Manga Corta;209900;
641;80482;jersey-standar-manga-corta-terracota-ref-80482;XL;Unisex;Manga Corta;209900;
642;14481;jersey-standar-manga-larga-terracota-ref-14481;S;Unisex;Manga Larga;209900;
643;14481;jersey-standar-manga-larga-terracota-ref-14481;M;Unisex;Manga Larga;209900;
644;14481;jersey-standar-manga-larga-terracota-ref-14481;L;Unisex;Manga Larga;209900;
645;14481;jersey-standar-manga-larga-terracota-ref-14481;XL;Unisex;Manga Larga;209900;
646;80481;jersey-standar-manga-corta-terracota-ref-80481;S;Unisex;Manga Corta;209900;
647;80481;jersey-standar-manga-corta-terracota-ref-80481;M;Unisex;Manga Corta;209900;
648;80481;jersey-standar-manga-corta-terracota-ref-80481;L;Unisex;Manga Corta;209900;
649;80481;jersey-standar-manga-corta-terracota-ref-80481;XL;Unisex;Manga Corta;209900;
650;13480;jersey-standar-manga-larga-terracota-ref-13480;S;Unisex;Manga Larga;219900;
651;13480;jersey-standar-manga-larga-terracota-ref-13480;M;Unisex;Manga Larga;219900;
652;13480;jersey-standar-manga-larga-terracota-ref-13480;L;Unisex;Manga Larga;219900;
653;13480;jersey-standar-manga-larga-terracota-ref-13480;XL;Unisex;Manga Larga;219900;
654;90480;jersey-standar-manga-corta-terracota-ref-90480;S;Unisex;Manga Corta;219900;
655;90480;jersey-standar-manga-corta-terracota-ref-90480;M;Unisex;Manga Corta;219900;
656;90480;jersey-standar-manga-corta-terracota-ref-90480;L;Unisex;Manga Corta;219900;
657;90480;jersey-standar-manga-corta-terracota-ref-90480;XL;Unisex;Manga Corta;219900;
658;14479;jersey-standar-manga-corta-terracota-ref-804799999;S;Unisex;Manga Corta;209900;
659;14479;jersey-standar-manga-corta-terracota-ref-804799999;M;Unisex;Manga Corta;209900;
660;14479;jersey-standar-manga-corta-terracota-ref-804799999;L;Unisex;Manga Corta;209900;
661;14479;jersey-standar-manga-corta-terracota-ref-804799999;XL;Unisex;Manga Corta;209900;
662;80479;jersey-standar-manga-corta-terracota-ref-14479;S;Unisex;Manga Corta;209900;
663;80479;jersey-standar-manga-corta-terracota-ref-14479;M;Unisex;Manga Corta;209900;
664;80479;jersey-standar-manga-corta-terracota-ref-14479;L;Unisex;Manga Corta;209900;
665;80479;jersey-standar-manga-corta-terracota-ref-14479;XL;Unisex;Manga Corta;209900;
666;14478;jersey-luxury-manga-corta-mujer-terracota-ref-14478;S;Femenino;Manga Corta;249900;
667;14478;jersey-luxury-manga-corta-mujer-terracota-ref-14478;M;Femenino;Manga Corta;249900;
668;14478;jersey-luxury-manga-corta-mujer-terracota-ref-14478;L;Femenino;Manga Corta;249900;
669;14478;jersey-luxury-manga-corta-mujer-terracota-ref-14478;XL;Femenino;Manga Corta;249900;
670;80478;jersey-luxury-manga-corta-hombre-terracota-ref-80478;S;Masculino;Manga Corta;249900;
671;80478;jersey-luxury-manga-corta-hombre-terracota-ref-80478;M;Masculino;Manga Corta;249900;
672;80478;jersey-luxury-manga-corta-hombre-terracota-ref-80478;L;Masculino;Manga Corta;249900;
673;80478;jersey-luxury-manga-corta-hombre-terracota-ref-80478;XL;Masculino;Manga Corta;249900;
674;14477;jersey-luxury-manga-corta-mujer-terracota-ref-14477;S;Femenino;Manga Corta;249900;
675;14477;jersey-luxury-manga-corta-mujer-terracota-ref-14477;M;Femenino;Manga Corta;249900;
676;14477;jersey-luxury-manga-corta-mujer-terracota-ref-14477;L;Femenino;Manga Corta;249900;
677;14477;jersey-luxury-manga-corta-mujer-terracota-ref-14477;XL;Femenino;Manga Corta;249900;
678;80477;jersey-luxury-manga-corta-hombre-terracota-ref-80477;S;Masculino;Manga Corta;249900;
679;80477;jersey-luxury-manga-corta-hombre-terracota-ref-80477;M;Masculino;Manga Corta;249900;
680;80477;jersey-luxury-manga-corta-hombre-terracota-ref-80477;L;Masculino;Manga Corta;249900;
681;80477;jersey-luxury-manga-corta-hombre-terracota-ref-80477;XL;Masculino;Manga Corta;249900;
682;14476;jersey-luxury-manga-corta-mujer-terracota-ref-14476;S;Femenino;Manga Corta;249900;
683;14476;jersey-luxury-manga-corta-mujer-terracota-ref-14476;M;Femenino;Manga Corta;249900;
684;14476;jersey-luxury-manga-corta-mujer-terracota-ref-14476;L;Femenino;Manga Corta;249900;
685;14476;jersey-luxury-manga-corta-mujer-terracota-ref-14476;XL;Femenino;Manga Corta;249900;
686;80476;jersey-luxury-manga-corta-hombre-terracota-ref-80476;S;Masculino;Manga Corta;249900;
687;80476;jersey-luxury-manga-corta-hombre-terracota-ref-80476;M;Masculino;Manga Corta;249900;
688;80476;jersey-luxury-manga-corta-hombre-terracota-ref-80476;L;Masculino;Manga Corta;249900;
689;80476;jersey-luxury-manga-corta-hombre-terracota-ref-80476;XL;Masculino;Manga Corta;249900;
690;14475;jersey-luxury-manga-corta-mujer-terracota-ref-14475;S;Femenino;Manga Corta;249900;
691;14475;jersey-luxury-manga-corta-mujer-terracota-ref-14475;M;Femenino;Manga Corta;249900;
692;14475;jersey-luxury-manga-corta-mujer-terracota-ref-14475;L;Femenino;Manga Corta;249900;
693;14475;jersey-luxury-manga-corta-mujer-terracota-ref-14475;XL;Femenino;Manga Corta;249900;
694;80475;jersey-luxury-manga-corta-hombre-terracota-ref-80475;S;Masculino;Manga Corta;249900;
695;80475;jersey-luxury-manga-corta-hombre-terracota-ref-80475;M;Masculino;Manga Corta;249900;
696;80475;jersey-luxury-manga-corta-hombre-terracota-ref-80475;L;Masculino;Manga Corta;249900;
697;80475;jersey-luxury-manga-corta-hombre-terracota-ref-80475;XL;Masculino;Manga Corta;249900;
698;14474;jersey-luxury-manga-corta-mujer-terracota-ref-14474;S;Femenino;Manga Corta;249900;
699;14474;jersey-luxury-manga-corta-mujer-terracota-ref-14474;M;Femenino;Manga Corta;249900;
700;14474;jersey-luxury-manga-corta-mujer-terracota-ref-14474;L;Femenino;Manga Corta;249900;
701;14474;jersey-luxury-manga-corta-mujer-terracota-ref-14474;XL;Femenino;Manga Corta;249900;
702;80474;jersey-luxury-manga-corta-terracota-ref-80474;S;Unisex;Manga Corta;249900;
703;80474;jersey-luxury-manga-corta-terracota-ref-80474;M;Unisex;Manga Corta;249900;
704;80474;jersey-luxury-manga-corta-terracota-ref-80474;L;Unisex;Manga Corta;249900;
705;80474;jersey-luxury-manga-corta-terracota-ref-80474;XL;Unisex;Manga Corta;249900;
706;14481;jersey-standar-manga-corta-copia-1;S;Unisex;Manga Corta;209900;
707;14481;jersey-standar-manga-corta-copia-1;M;Unisex;Manga Corta;209900;
708;14481;jersey-standar-manga-corta-copia-1;L;Unisex;Manga Corta;209900;
709;14481;jersey-standar-manga-corta-copia-1;XL;Unisex;Manga Corta;209900;
710;3439;pantaloneta-davos-copia;S;Unisex;Sin Dato;289900;
711;3439;pantaloneta-davos-copia;M;Unisex;Sin Dato;289900;
712;3439;pantaloneta-davos-copia;L;Unisex;Sin Dato;289900;
713;3439;pantaloneta-davos-copia;XL;Unisex;Sin Dato;289900;
714;3433;pantaloneta-estelar-13;S;Unisex;Sin Dato;329900;
715;3433;pantaloneta-estelar-13;M;Unisex;Sin Dato;329900;
716;3433;pantaloneta-estelar-13;L;Unisex;Sin Dato;329900;
717;3433;pantaloneta-estelar-13;XL;Unisex;Sin Dato;329900;
718;3434;pantaloneta-estelar-2;S;Unisex;Sin Dato;329900;
719;3434;pantaloneta-estelar-2;M;Unisex;Sin Dato;329900;
720;3434;pantaloneta-estelar-2;L;Unisex;Sin Dato;329900;
721;3434;pantaloneta-estelar-2;XL;Unisex;Sin Dato;329900;
722;6006;buso-ride-1;S;Unisex;Sin Dato;129900;
723;6006;buso-ride-1;M;Unisex;Sin Dato;129900;
724;6006;buso-ride-1;L;Unisex;Sin Dato;129900;
725;6006;buso-ride-1;XL;Unisex;Sin Dato;129900;
726;6007;buso-ride;S;Unisex;Sin Dato;129900;
727;6007;buso-ride;M;Unisex;Sin Dato;129900;
728;6007;buso-ride;L;Unisex;Sin Dato;129900;
729;6007;buso-ride;XL;Unisex;Sin Dato;129900;
730;3464;pantaloneta-estelar-12;S;Unisex;Sin Dato;329900;
731;3464;pantaloneta-estelar-12;M;Unisex;Sin Dato;329900;
732;3464;pantaloneta-estelar-12;L;Unisex;Sin Dato;329900;
733;3464;pantaloneta-estelar-12;XL;Unisex;Sin Dato;329900;
734;1264;pantaloneta-estelar-11;XS;Unisex;Sin Dato;329900;
735;1264;pantaloneta-estelar-11;S;Unisex;Sin Dato;329900;
736;1264;pantaloneta-estelar-11;M;Unisex;Sin Dato;329900;
737;1264;pantaloneta-estelar-11;L;Unisex;Sin Dato;329900;
738;1264;pantaloneta-estelar-11;XL;Unisex;Sin Dato;329900;
739;1264;pantaloneta-estelar-11;2XL;Unisex;Sin Dato;329900;
740;200801;viceras-running-copia;S;Unisex;Sin Dato;37800;
741;200802;viceras-running-copia;S;Unisex;Sin Dato;37800;
742;20450;viceras-running-copia;S;Unisex;Sin Dato;37800;
743;20452;viceras-running-copia;S;Unisex;Sin Dato;37800;
744;20442;viceras-running-copia;S;Unisex;Sin Dato;37800;
745;20436;viceras-running-copia;S;Unisex;Sin Dato;37800;
746;20444;viceras-running-copia;S;Unisex;Sin Dato;37800;
747;20446;viceras-running-copia;S;Unisex;Sin Dato;37800;
748;20432;viceras-running-copia;S;Unisex;Sin Dato;37800;
749;20440;viceras-running-copia;S;Unisex;Sin Dato;37800;
750;20434;viceras-running-copia;S;Unisex;Sin Dato;37800;
751;200801;viceras-running-copia;M;Unisex;Sin Dato;37800;
752;200802;viceras-running-copia;M;Unisex;Sin Dato;37800;
753;20450;viceras-running-copia;M;Unisex;Sin Dato;37800;
754;20452;viceras-running-copia;M;Unisex;Sin Dato;37800;
755;20442;viceras-running-copia;M;Unisex;Sin Dato;37800;
756;20436;viceras-running-copia;M;Unisex;Sin Dato;37800;
757;20444;viceras-running-copia;M;Unisex;Sin Dato;37800;
758;20446;viceras-running-copia;M;Unisex;Sin Dato;37800;
759;20432;viceras-running-copia;M;Unisex;Sin Dato;37800;
760;20440;viceras-running-copia;M;Unisex;Sin Dato;37800;
761;20434;viceras-running-copia;M;Unisex;Sin Dato;37800;
762;200801;viceras-running-copia;L;Unisex;Sin Dato;37800;
763;200802;viceras-running-copia;L;Unisex;Sin Dato;37800;
764;20450;viceras-running-copia;L;Unisex;Sin Dato;37800;
765;20452;viceras-running-copia;L;Unisex;Sin Dato;37800;
766;20442;viceras-running-copia;L;Unisex;Sin Dato;37800;
767;20436;viceras-running-copia;L;Unisex;Sin Dato;37800;
768;20444;viceras-running-copia;L;Unisex;Sin Dato;37800;
769;20446;viceras-running-copia;L;Unisex;Sin Dato;37800;
770;20432;viceras-running-copia;L;Unisex;Sin Dato;37800;
771;20440;viceras-running-copia;L;Unisex;Sin Dato;37800;
772;20434;viceras-running-copia;L;Unisex;Sin Dato;37800;
773;200801;viceras-running-copia;XL;Unisex;Sin Dato;37800;
774;200802;viceras-running-copia;XL;Unisex;Sin Dato;37800;
775;20450;viceras-running-copia;XL;Unisex;Sin Dato;37800;
776;20452;viceras-running-copia;XL;Unisex;Sin Dato;37800;
777;20442;viceras-running-copia;XL;Unisex;Sin Dato;37800;
778;20436;viceras-running-copia;XL;Unisex;Sin Dato;37800;
779;20444;viceras-running-copia;XL;Unisex;Sin Dato;37800;
780;20446;viceras-running-copia;XL;Unisex;Sin Dato;37800;
781;20432;viceras-running-copia;XL;Unisex;Sin Dato;37800;
782;20440;viceras-running-copia;XL;Unisex;Sin Dato;37800;
783;20434;viceras-running-copia;XL;Unisex;Sin Dato;37800;
784;55438;viceras-running;S;Unisex;Sin Dato;69900;light blue
785;5502;viceras-running;S;Unisex;Sin Dato;69900;black
786;5501;viceras-running;S;Unisex;Sin Dato;69900;white
787;55450;viceras-running;S;Unisex;Sin Dato;69900;blanco - gris
788;55452;viceras-running;S;Unisex;Sin Dato;69900;green
789;55438;viceras-running;M;Unisex;Sin Dato;69900;light blue
790;5502;viceras-running;M;Unisex;Sin Dato;69900;black
791;5501;viceras-running;M;Unisex;Sin Dato;69900;white
792;55450;viceras-running;M;Unisex;Sin Dato;69900;blanco - gris
793;55452;viceras-running;M;Unisex;Sin Dato;69900;green
794;55438;viceras-running;L;Unisex;Sin Dato;69900;light blue
795;5502;viceras-running;L;Unisex;Sin Dato;69900;black
796;5501;viceras-running;L;Unisex;Sin Dato;69900;white
797;55450;viceras-running;L;Unisex;Sin Dato;69900;blanco - gris
798;55452;viceras-running;L;Unisex;Sin Dato;69900;green
799;55438;viceras-running;XL;Unisex;Sin Dato;69900;light blue
800;5502;viceras-running;XL;Unisex;Sin Dato;69900;black
801;5501;viceras-running;XL;Unisex;Sin Dato;69900;white
802;55450;viceras-running;XL;Unisex;Sin Dato;69900;blanco - gris
803;55452;viceras-running;XL;Unisex;Sin Dato;69900;green
804;81505728;calcetines-tejidos-running;S;Unisex;Sin Dato;29900;light blue
805;81505728;calcetines-tejidos-running;S;Unisex;Sin Dato;29900;neon - keep going
806;81505728;calcetines-tejidos-running;S;Unisex;Sin Dato;29900;neon - born to run
807;81505728;calcetines-tejidos-running;S;Unisex;Sin Dato;29900;neon - lineas
808;81505728;calcetines-tejidos-running;S;Unisex;Sin Dato;29900;neon - ojos
809;81505728;calcetines-tejidos-running;S;Unisex;Sin Dato;29900;orange
810;81505728;calcetines-tejidos-running;M;Unisex;Sin Dato;29900;light blue
811;81505728;calcetines-tejidos-running;M;Unisex;Sin Dato;29900;neon - keep going
812;81505728;calcetines-tejidos-running;M;Unisex;Sin Dato;29900;neon - born to run
813;81505728;calcetines-tejidos-running;M;Unisex;Sin Dato;29900;neon - lineas
814;81505728;calcetines-tejidos-running;M;Unisex;Sin Dato;29900;neon - ojos
815;81505728;calcetines-tejidos-running;M;Unisex;Sin Dato;29900;orange
816;81505728;calcetines-tejidos-running;L;Unisex;Sin Dato;29900;light blue
817;81505728;calcetines-tejidos-running;L;Unisex;Sin Dato;29900;neon - keep going
818;81505728;calcetines-tejidos-running;L;Unisex;Sin Dato;29900;neon - born to run
819;81505728;calcetines-tejidos-running;L;Unisex;Sin Dato;29900;neon - lineas
820;81505728;calcetines-tejidos-running;L;Unisex;Sin Dato;29900;neon - ojos
821;81505728;calcetines-tejidos-running;L;Unisex;Sin Dato;29900;orange
822;81505728;calcetines-tejidos-running;XL;Unisex;Sin Dato;29900;light blue
823;81505728;calcetines-tejidos-running;XL;Unisex;Sin Dato;29900;neon - keep going
824;81505728;calcetines-tejidos-running;XL;Unisex;Sin Dato;29900;neon - born to run
825;81505728;calcetines-tejidos-running;XL;Unisex;Sin Dato;29900;neon - lineas
826;81505728;calcetines-tejidos-running;XL;Unisex;Sin Dato;29900;neon - ojos
827;81505728;calcetines-tejidos-running;XL;Unisex;Sin Dato;29900;orange
828;40112;licra-deportiva-running-1;S;Unisex;Sin Dato;135900;green
829;40112;licra-deportiva-running-1;M;Unisex;Sin Dato;135900;green
830;40112;licra-deportiva-running-1;L;Unisex;Sin Dato;135900;green
831;40112;licra-deportiva-running-1;XL;Unisex;Sin Dato;135900;green
832;40114;licra-deportiva-running-1;S;Unisex;Sin Dato;135900;dark red
833;40114;licra-deportiva-running-1;M;Unisex;Sin Dato;135900;dark red
834;40114;licra-deportiva-running-1;L;Unisex;Sin Dato;135900;dark red
835;40114;licra-deportiva-running-1;XL;Unisex;Sin Dato;135900;dark red
836;40115;licra-deportiva-running;S;Unisex;Sin Dato;135900;pink
837;40115;licra-deportiva-running;M;Unisex;Sin Dato;135900;pink
838;40115;licra-deportiva-running;L;Unisex;Sin Dato;135900;pink
839;40115;licra-deportiva-running;XL;Unisex;Sin Dato;135900;pink
840;40113;licra-deportiva-running;S;Unisex;Sin Dato;135900;green
841;40113;licra-deportiva-running;M;Unisex;Sin Dato;135900;green
842;40113;licra-deportiva-running;L;Unisex;Sin Dato;135900;green
843;40113;licra-deportiva-running;XL;Unisex;Sin Dato;135900;green
844;84452;esqueleto-running-20;S;Unisex;Sin Dato;79900;
845;84452;esqueleto-running-20;M;Unisex;Sin Dato;79900;
846;84452;esqueleto-running-20;L;Unisex;Sin Dato;79900;
847;84452;esqueleto-running-20;XL;Unisex;Sin Dato;79900;
848;84450;esqueleto-running-19;S;Unisex;Sin Dato;79900;
849;84450;esqueleto-running-19;M;Unisex;Sin Dato;79900;
850;84450;esqueleto-running-19;L;Unisex;Sin Dato;79900;
851;84450;esqueleto-running-19;XL;Unisex;Sin Dato;79900;
852;84448;esqueleto-running-18;S;Unisex;Sin Dato;79900;
853;84448;esqueleto-running-18;M;Unisex;Sin Dato;79900;
854;84448;esqueleto-running-18;L;Unisex;Sin Dato;79900;
855;84448;esqueleto-running-18;XL;Unisex;Sin Dato;79900;
856;84446;esqueleto-running-17;S;Unisex;Sin Dato;79900;
857;84446;esqueleto-running-17;M;Unisex;Sin Dato;79900;
858;84446;esqueleto-running-17;L;Unisex;Sin Dato;79900;
859;84446;esqueleto-running-17;XL;Unisex;Sin Dato;79900;
860;84444;esqueleto-running-16;S;Unisex;Sin Dato;79900;
861;84444;esqueleto-running-16;M;Unisex;Sin Dato;79900;
862;84444;esqueleto-running-16;L;Unisex;Sin Dato;79900;
863;84444;esqueleto-running-16;XL;Unisex;Sin Dato;79900;
864;84442;esqueleto-running-15;S;Unisex;Sin Dato;79900;
865;84442;esqueleto-running-15;M;Unisex;Sin Dato;79900;
866;84442;esqueleto-running-15;L;Unisex;Sin Dato;79900;
867;84442;esqueleto-running-15;XL;Unisex;Sin Dato;79900;
868;84440;esqueleto-running-14;S;Unisex;Sin Dato;79900;
869;84440;esqueleto-running-14;M;Unisex;Sin Dato;79900;
870;84440;esqueleto-running-14;L;Unisex;Sin Dato;79900;
871;84440;esqueleto-running-14;XL;Unisex;Sin Dato;79900;
872;84438;esqueleto-running-13;S;Unisex;Sin Dato;79900;
873;84438;esqueleto-running-13;M;Unisex;Sin Dato;79900;
874;84438;esqueleto-running-13;L;Unisex;Sin Dato;79900;
875;84438;esqueleto-running-13;XL;Unisex;Sin Dato;79900;
876;84436;esqueleto-running-12;S;Unisex;Sin Dato;79900;
877;84436;esqueleto-running-12;M;Unisex;Sin Dato;79900;
878;84436;esqueleto-running-12;L;Unisex;Sin Dato;79900;
879;84436;esqueleto-running-12;XL;Unisex;Sin Dato;79900;
880;84434;esqueleto-running-11;S;Unisex;Sin Dato;79900;
881;84434;esqueleto-running-11;M;Unisex;Sin Dato;79900;
882;84434;esqueleto-running-11;L;Unisex;Sin Dato;79900;
883;84434;esqueleto-running-11;XL;Unisex;Sin Dato;79900;
884;84432;t-shirt-running-22;S;Unisex;Sin Dato;79900;
885;84432;t-shirt-running-22;M;Unisex;Sin Dato;79900;
886;84432;t-shirt-running-22;L;Unisex;Sin Dato;79900;
887;84432;t-shirt-running-22;XL;Unisex;Sin Dato;79900;
888;84453;esqueleto-running-10;S;Unisex;Sin Dato;79900;
889;84453;esqueleto-running-10;M;Unisex;Sin Dato;79900;
890;84453;esqueleto-running-10;L;Unisex;Sin Dato;79900;
891;84453;esqueleto-running-10;XL;Unisex;Sin Dato;79900;
892;84451;esqueleto-running-9;S;Unisex;Sin Dato;79900;
893;84451;esqueleto-running-9;M;Unisex;Sin Dato;79900;
894;84451;esqueleto-running-9;L;Unisex;Sin Dato;79900;
895;84451;esqueleto-running-9;XL;Unisex;Sin Dato;79900;
896;84449;esqueleto-running-8;S;Unisex;Sin Dato;79900;
897;84449;esqueleto-running-8;M;Unisex;Sin Dato;79900;
898;84449;esqueleto-running-8;L;Unisex;Sin Dato;79900;
899;84449;esqueleto-running-8;XL;Unisex;Sin Dato;79900;
900;84447;esqueleto-running-7;S;Unisex;Sin Dato;79900;
901;84447;esqueleto-running-7;M;Unisex;Sin Dato;79900;
902;84447;esqueleto-running-7;L;Unisex;Sin Dato;79900;
903;84447;esqueleto-running-7;XL;Unisex;Sin Dato;79900;
904;84445;esqueleto-running-6;S;Unisex;Sin Dato;79900;
905;84445;esqueleto-running-6;M;Unisex;Sin Dato;79900;
906;84445;esqueleto-running-6;L;Unisex;Sin Dato;79900;
907;84445;esqueleto-running-6;XL;Unisex;Sin Dato;79900;
908;84443;esqueleto-running-5;S;Unisex;Sin Dato;79900;
909;84443;esqueleto-running-5;M;Unisex;Sin Dato;79900;
910;84443;esqueleto-running-5;L;Unisex;Sin Dato;79900;
911;84443;esqueleto-running-5;XL;Unisex;Sin Dato;79900;
912;84441;esqueleto-running-4;S;Unisex;Sin Dato;79900;
913;84441;esqueleto-running-4;M;Unisex;Sin Dato;79900;
914;84441;esqueleto-running-4;L;Unisex;Sin Dato;79900;
915;84441;esqueleto-running-4;XL;Unisex;Sin Dato;79900;
916;84439;esqueleto-running-3;S;Unisex;Sin Dato;79900;
917;84439;esqueleto-running-3;M;Unisex;Sin Dato;79900;
918;84439;esqueleto-running-3;L;Unisex;Sin Dato;79900;
919;84439;esqueleto-running-3;XL;Unisex;Sin Dato;79900;
920;84437;esqueleto-running-2;S;Unisex;Sin Dato;79900;
921;84437;esqueleto-running-2;M;Unisex;Sin Dato;79900;
922;84437;esqueleto-running-2;L;Unisex;Sin Dato;79900;
923;84437;esqueleto-running-2;XL;Unisex;Sin Dato;79900;
924;84435;esqueleto-running-1;S;Unisex;Sin Dato;79900;
925;84435;esqueleto-running-1;M;Unisex;Sin Dato;79900;
926;84435;esqueleto-running-1;L;Unisex;Sin Dato;79900;
927;84435;esqueleto-running-1;XL;Unisex;Sin Dato;79900;
928;84433;esqueleto-running;S;Unisex;Sin Dato;79900;
929;84433;esqueleto-running;M;Unisex;Sin Dato;79900;
930;84433;esqueleto-running;L;Unisex;Sin Dato;79900;
931;84433;esqueleto-running;XL;Unisex;Sin Dato;79900;
932;83452;t-shirt-running-21;S;Unisex;Sin Dato;89900;
933;83452;t-shirt-running-21;M;Unisex;Sin Dato;89900;
934;83452;t-shirt-running-21;L;Unisex;Sin Dato;89900;
935;83452;t-shirt-running-21;XL;Unisex;Sin Dato;89900;
936;83450;t-shirt-running-20;S;Unisex;Sin Dato;89900;
937;83450;t-shirt-running-20;M;Unisex;Sin Dato;89900;
938;83450;t-shirt-running-20;L;Unisex;Sin Dato;89900;
939;83450;t-shirt-running-20;XL;Unisex;Sin Dato;89900;
940;83448;t-shirt-running-19;S;Unisex;Sin Dato;89900;
941;83448;t-shirt-running-19;M;Unisex;Sin Dato;89900;
942;83448;t-shirt-running-19;L;Unisex;Sin Dato;89900;
943;83448;t-shirt-running-19;XL;Unisex;Sin Dato;89900;
944;83446;t-shirt-running-18;S;Unisex;Sin Dato;89900;
945;83446;t-shirt-running-18;M;Unisex;Sin Dato;89900;
946;83446;t-shirt-running-18;L;Unisex;Sin Dato;89900;
947;83446;t-shirt-running-18;XL;Unisex;Sin Dato;89900;
948;83444;t-shirt-running-17;S;Unisex;Sin Dato;89900;
949;83444;t-shirt-running-17;M;Unisex;Sin Dato;89900;
950;83444;t-shirt-running-17;L;Unisex;Sin Dato;89900;
951;83444;t-shirt-running-17;XL;Unisex;Sin Dato;89900;
952;83442;t-shirt-running-16;S;Unisex;Sin Dato;89900;
953;83442;t-shirt-running-16;M;Unisex;Sin Dato;89900;
954;83442;t-shirt-running-16;L;Unisex;Sin Dato;89900;
955;83442;t-shirt-running-16;XL;Unisex;Sin Dato;89900;
